ABAM,Abies amabilis,Pacific silver fir
MODI,Monarda didyma,scarlet beebalm
MOFI,Monarda fistulosa,wild bergamot
MOME,Monarda media,purple bergamot
MOPU,Monarda punctata,spotted beebalm
MOCA6,Morella californica,California wax myrtle
MOCE2,Morella cerifera,wax myrtle
MYPU,Myrica pusilla,
MOPE6,Morella pensylvanica,northern bayberry
MOAL,Morus alba,white mulberry
MORU2,Morus rubra,red mulberry
MUCA2,Muhlenbergia capillaris,hairawn muhly
MUEX,Muhlenbergia expansa,cutover muhly
MUCAT,Muhlenbergia capillaris,
MUFI3,Muhlenbergia filipes,gulfhairawn muhly
MULI,Muhlenbergia lindheimeri,Lindheimer's muhly
MURE2,Muhlenbergia reverchonii,seep muhly
MURI2,Muhlenbergia rigens,deergrass
MYSP2,Myriophyllum spicatum,Eurasian watermilfoil
NACE,Nassella cernua,nodding needlegrass
NALE3,Nassella leucotricha,Texas wintergrass
NAPU4,Nassella pulchra,purple needlegrass
NAVI4,Nassella viridula,green needlegrass
NIRU,Nicotiana rustica,Aztec tobacco
NOMI,Nolina microcarpa,sacahuista
NODE3,Notholithocarpus densiflorus,tanoak
LIDE3,Lithocarpus densiflorus,
NOBI2,Nothoscordum bivalve,crowpoison
NULU,Nuphar lutea,yellow pond-lily
NYBI,Nyssa biflora,swamp tupelo
NYSY,Nyssa sylvatica,blackgum
OECE,Oemleria cerasiformis,Indian plum
OEBI,Oenothera biennis,common evening primrose
OEFR,Oenothera fruticosa,narrowleaf evening primrose
OLRIR,Oligoneuron rigidum,stiff goldenrod
ONVI,Onobrychis viciifolia,sainfoin
OPPO,Opuntia polyacantha,plains pricklypear
OSVI,Ostrya virginiana,hophornbeam
PAAU3,Packera aurea,golden ragwort
PACA15,Packera cana,woolly groundsel
PAMU11,Packera multilobata,lobeleaf groundsel
PAST10,Packera streptanthifolia,Rocky Mountain groundsel
PAQU,Panax quinquefolius,American ginseng
PAAB,Panicum abscissum,cutthroat grass
PAAM2,Panicum amarum,bitter panicgrass
PAAMA2,Panicum amarum,coastal panicgrass
PAAN,Panicum anceps,beaked panicgrass
PACO2,Panicum coloratum,kleingrass
PADI,Panicum dichotomiflorum,fall panicgrass
PAHAF,Panicum hallii,Hall's panicgrass
PAHA2,Panicum havardii,Havard's panicgrass
PAHE2,Panicum hemitomon,maidencane
PAMI2,Panicum miliaceum,proso millet
PAOB,Panicum obtusum,vine mesquite
PARE3,Panicum repens,torpedo grass
PAVI2,Panicum virgatum,switchgrass
PABI2,Pappophorum bicolor,pink pappusgrass
PAVA2,Pappophorum vaginatum,whiplash pappusgrass
PAIN3,Parthenium integrifolium,wild quinine
PAQU2,Parthenocissus quinquefolia,Virginia creeper
PASM,Pascopyrum smithii,western wheatgrass
PADE24,Paspalum denticulatum,longtom
PALI7,Paspalum lividum,
PADI6,Paspalum distichum,knotgrass
PAFL4,Paspalum floridanum,Florida paspalum
PANO2,Paspalum notatum,bahiagrass
PAPL3,Paspalum plicatulum,brownseed paspalum
PASE5,Paspalum setaceum,thin paspalum
PAVA,Paspalum vaginatum,seashore paspalum
PAIN6,Passiflora incarnata,purple passionflower
PALA13,Pavonia lasiopetala,Texas swampmallow
PEDE17,Pediocactus despainii,Despain's pincushion cactus
PESI4,Pediocactus sileri,Siler pincushion cactus
PEWI2,Pediocactus winkleri,Winkler's pincushion cactus
PEVI,Peltandra virginica,green arrow arum
PEGL2,Pennisetum glaucum,pearl millet
PENST,Penstemon Penstemon,sharpleaf penstemon
PEAC,Penstemon acuminatus,sharpleaf penstemon
PEAN4,Penstemon angustifolius,broadbeard beardtongue
PEAT3,Penstemon attenuatus,sulphur penstemon
PECY3,Penstemon cyaneus,blue penstemon
PECY4,Penstemon cyanocaulis,bluestem beardtongue
PEDE4,Penstemon deustus,scabland penstemon
PEEA,Penstemon eatonii,firecracker penstemon
PEEAE2,Penstemon eatonii,firecracker penstemon
PEEAE,Penstemon eatonii,firecracker penstemon
PEEAU,Penstemon eatonii,firecracker penstemon
PEGR7,Penstemon grandiflorus,large beardtongue
PEHU,Penstemon humilis,low beardtongue
PEPA6,Penstemon pachyphyllus,thickleaf beardtongue
PEPAC2,Penstemon pachyphyllus,thickleaf beardtongue
PEPAM5,Penstemon pachyphyllus,mucronate penstemon
PEPAP8,Penstemon pachyphyllus,thickleaf beardtongue
PEPA8,Penstemon palmeri,Palmer's penstemon
PEPAE2,Penstemon palmeri,scented beardtongue
PEPAM3,Penstemon palmeri,scented beardtongue
PEPAP9,Penstemon palmeri,Palmer's penstemon
PERY,Penstemon rydbergii,Rydberg's penstemon
PERYA,Penstemon rydbergii,meadow beardtongue
PERYO,Penstemon rydbergii,herbaceous penstemon
PERYR,Penstemon rydbergii,swollen penstemon
PESCA,Penstemon scariosus,White River beardtongue
PESP,Penstemon speciosus,royal penstemon
PEST2,Penstemon strictus,Rocky Mountain penstemon
PEVE2,Penstemon venustus,Venus penstemon
PHAR2,Phacelia argillacea,Attwood's phacelia
PHAQ,Phalaris aquatica,bulbous canarygrass
PHAR3,Phalaris arundinacea,reed canarygrass
PHLE4,Philadelphus lewisii,Lewis' mock orange
PHPR3,Phleum pratense,timothy
PHAU7,Phragmites australis,common reed
PHCA11,Physocarpus capitatus,Pacific ninebark
PHOP,Physocarpus opulifolius,common ninebark
PHOPI,Physocarpus opulifolius,Atlantic ninebark
PHOPO,Physocarpus opulifolius,common ninebark
PIEN,Picea engelmannii,Engelmann spruce
PIGL,Picea glauca,white spruce
PIMA,Picea mariana,black spruce
PIPU,Picea pungens,blue spruce
PIRU,Picea rubens,red spruce
PISI,Picea sitchensis,Sitka spruce
PIAL,Pinus albicaulis,whitebark pine
PIBA2,Pinus banksiana,jack pine
PIED,Pinus edulis,twoneedle pinyon
PIEL,Pinus elliottii,slash pine
PIJE,Pinus jeffreyi,Jeffrey pine
PIMO,Pinus monophylla,singleleaf pinyon
PIPA2,Pinus palustris,longleaf pine
PIPO,Pinus ponderosa,ponderosa pine
PIRA2,Pinus radiata,Monterey pine
PIRE,Pinus resinosa,red pine
PISA2,Pinus sabiniana,California foothill pine
PIST,Pinus strobus,eastern white pine
PISY,Pinus sylvestris,Scots pine
PITH2,Pinus thunbergii,Japanese black pine
PISA6,Pisum sativum,garden pea
PIGR4,Pityopsis graminifolia,narrowleaf silkgrass
PLHO,Plantago hookeriana,California plantain
PLRH,Plantago rhodosperma,redseed plantain
PLCI2,Platanthera ciliaris,yellow fringed orchid
PLOC,Platanus occidentalis,American sycamore
PLCO4,Plectritis congesta,shortspur seablush
PLJA,Pleuraphis jamesii,James' galleta
PLMU3,Pleuraphis mutica,tobosagrass
POAR,Poa arachnifera,Texas bluegrass
POBU,Poa bulbosa,bulbous bluegrass
POCO,Poa compressa,Canada bluegrass
POFE,Poa fendleriana,muttongrass
POPR,Poa pratensis,Kentucky bluegrass
POSE,Poa secunda,Sandberg bluegrass
POSC,Poa scabrella,
PODOR,Polanisia dodecandra,Rio Grande clammyweed
POIN3,Poliomintha incana,frosted mint
POPE2,Polygonum pensylvanicum,Pennsylvania smartweed
POGU,Polyscias guilfoylei,geranium aralia
PONU4,Polytaenia nuttallii,Nuttall's prairie parsley
POCO14,Pontederia cordata,pickerelweed
POAN3,Populus angustifolia,narrowleaf cottonwood
POBAT,Populus balsamifera,black cottonwood
PODE3,Populus deltoides,eastern cottonwood
POFR2,Populus fremontii,Fremont cottonwood
POTR5,Populus tremuloides,quaking aspen
POCR3,Potamogeton crispus,curly pondweed
POPE7,Potamogeton perfoliatus,claspingleaf pondweed
POGR9,Potentilla gracilis,slender cinquefoil
PRCUM,Primula cusickiana,Maguire's primrose
PRPA2,Proboscidea parviflora,doubleclaw
PRGL2,Prosopis glandulosa,honey mesquite
PRGLT,Prosopis glandulosa,western honey mesquite
PRPU,Prosopis pubescens,screwbean mesquite
PRVE,Prosopis velutina,velvet mesquite
PRVUL2,Prunella vulgaris,lance selfheal
PRAM,Prunus americana,American plum
PRAN3,Prunus angustifolia,Chickasaw plum
PREM,Prunus emarginata,bitter cherry
PRIL,Prunus ilicifolia,hollyleaf cherry
PRMA2,Prunus maritima,beach plum
PRPUD,Prunus pumila,eastern sandcherry
PRSE2,Prunus serotina,black cherry
PRSEE,Prunus serotina,black cherry
PRSER2,Prunus serotina,black cherry
PRSES,Prunus serotina,black cherry
PRSEV,Prunus serotina,black cherry
PRVI,Prunus virginiana,chokecherry
PRVID,Prunus virginiana,western chokecherry
PRVIM,Prunus virginiana,black chokecherry
PSJU3,Psathyrostachys juncea,Russian wildrye
PSSP6,Pseudoroegneria spicata,bluebunch wheatgrass
PSSPI,Pseudoroegneria spicata,beardless wheatgrass
PSSPS,Pseudoroegneria spicata,bluebunch wheatgrass
PSME,Pseudotsuga menziesii,Douglas-fir
PUTR2,Purshia tridentata,antelope bitterbrush
PYTE,Pycnanthemum tenuifolium,narrowleaf mountainmint
QUAC80,Quercus acutissima,sawtooth oak
QUAG,Quercus agrifolia,California live oak
QUAL,Quercus alba,white oak
QUBI,Quercus bicolor,swamp white oak
QUCH2,Quercus chrysolepis,canyon live oak
QUDO,Quercus douglasii,blue oak
QUEL,Quercus ellipsoidalis,northern pin oak
QUGA4,Quercus garryana,Oregon white oak
QUKE,Quercus kelloggii,California black oak
QULO,Quercus lobata,valley oak
QULY,Quercus lyrata,overcup oak
QUMA2,Quercus macrocarpa,bur oak
QUMI,Quercus michauxii,swamp chestnut oak
QUPA5,Quercus pagoda,cherrybark oak
QUPA2,Quercus palustris,pin oak
QUPH,Quercus phellos,willow oak
QURU,Quercus rubra,northern red oak
QUSH,Quercus shumardii,Shumard's oak
QUVI,Quercus virginiana,live oak
QUWI2,Quercus wislizeni,interior live oak
RAAC3,Ranunculus acris,tall buttercup
RAAE,Ranunculus aestivalis,fall buttercup
RAOC,Ranunculus occidentalis,western buttercup
RASA2,Raphanus sativus,cultivated radish
RACO3,Ratibida columnifera,upright prairie coneflower
RAPI,Ratibida pinnata,pinnate prairie coneflower
REFL,Redfieldia flexuosa,blowout grass
RHMA,Rhexia mariana,Maryland meadowbeauty
RHAR4,Rhus aromatica,fragrant sumac
RHARA,Rhus aromatica,fragrant sumac
RHARA2,Rhus aromatica,fragrant sumac
RHARS,Rhus aromatica,fragrant sumac
RHCO,Rhus copallinum,winged sumac
RHGL,Rhus glabra,smooth sumac
RHTR,Rhus trilobata,skunkbush sumac
RHTRA,Rhus trilobata,skunkbush sumac
RHTRP,Rhus trilobata,pubescent skunkbush sumac
RHTRQ,Rhus trilobata,skunkbush sumac
RHTRR,Rhus trilobata,skunkbush sumac
RHTRS,Rhus trilobata,skunkbush sumac
RHTRT,Rhus trilobata,skunkbush sumac
RHTY,Rhus typhina,staghorn sumac
RHHI2,Rhus hirta,
RIAM2,Ribes americanum,American black currant
RIAU,Ribes aureum,golden currant
RIAUA,Ribes aureum,golden currant
RIAUG,Ribes aureum,golden currant
RIAUV,Ribes aureum,golden currant
RISA,Ribes sanguineum,redflower currant
ROHIF8,Robinia hispida,bristly locust
ROPS,Robinia pseudoacacia,black locust
ROCA3,Rosa canina,dog rose
ROGY,Rosa gymnocarpa,dwarf rose
RONU,Rosa nutkana,Nootka rose
ROPA,Rosa palustris,swamp rose
RORU82,Rosa rubiginosa,sweetbriar rose
RORU,Rosa rugosa,rugosa rose
ROVI2,Rosa virginiana,Virginia rose
ROVIL,Rosa virginiana,Virginia rose
ROVIV2,Rosa virginiana,Virginia rose
ROWO,Rosa woodsii,Woods' rose
ROWOG,Rosa woodsii,Woods' rose
ROWOG2,Rosa woodsii,Tehachapi rose
ROWOU,Rosa woodsii,Woods' rose
ROWOW,Rosa woodsii,Woods' rose
RUAR9,Rubus armeniacus,Himalayan blackberry
RUID,Rubus idaeus,American red raspberry
RUSP,Rubus spectabilis,salmonberry
RUHI2,Rudbeckia hirta,blackeyed Susan
SAMI8,Sabal minor,dwarf palmetto
SAPA,Sabal palmetto,cabbage palmetto
SABRC3,Saccharum brevibarbe,sortbeard plumegrass
SACU,Sagittaria cuneata,arumleaf arrowhead
SALA2,Sagittaria latifolia,broadleaf arrowhead
SAAM2,Salix amygdaloides,peachleaf willow
SABE2,Salix bebbiana,Bebb willow
SACO28,Salix cottetii,Cottet willow
SADR,Salix drummondiana,Drummond's willow
SAEX,Salix exigua,narrowleaf willow
SAHU2,Salix humilis,prairie willow
SAIN3,Salix interior,sandbar willow
SALE,Salix lemmonii,Lemmon's willow
SALU,Salix lucida,shining willow
SALUL,Salix lucida,Pacific willow
SANI,Salix nigra,black willow
SAPR3,Salix prolixa,MacKenzie's willow
SAPU2,Salix purpurea,purpleosier willow
SASI2,Salix sitchensis,Sitka willow
SAAP2,Salvia apiana,white sage
SAAZG,Salvia azurea,pitcher sage
SACO6,Salvia columbariae,chia
SADO4,Salvia dorrii,purple sage
SALY2,Salvia lyrata,lyreleaf sage
SANIC4,Sambucus nigra,American black elderberry
SANIC5,Sambucus nigra,blue elderberry
SARA2,Sambucus racemosa,red elderberry
SAMI3,Sanguisorba minor,small burnet
SAVE4,Sarcobatus vermiculatus,greasewood
SAAL5,Sassafras albidum,sassafras
SAOR2,Saxifraga oregana,Oregon saxifrage
SCAR7,Schedonorus arundinaceus,tall fescue
LOAR10,Lolium arundinaceum,
SCLI11,Schizachyrium littorale,shore little bluestem
SCMA3,Schizachyrium maritimum,gulf bluestem
SCSC,Schizachyrium scoparium,little bluestem
SCSCD,Schizachyrium scoparium,little bluestem
SCSCS3,Schizachyrium scoparium,creeping bluestem
SCTE5,Schizachyrium tenerum,slender little bluestem
SCFO2,Schleinitzia fosbergii,strand tangantangan
SCAR5,Schoenocrambe argillacea,Uinta Basin plainsmustard
SCBA80,Schoenocrambe barnebyi,Syes Butte plainsmustard
SCAC3,Schoenoplectus acutus,hardstem bulrush
SCACO2,Schoenoplectus acutus,tule
SCAM6,Schoenoplectus americanus,chairmaker's bulrush
SCCA11,Schoenoplectus californicus,California bulrush
SCPU10,Schoenoplectus pungens,common threesquare
SCTA2,Schoenoplectus tabernaemontani,softstem bulrush
SCCY,Scirpus cyperinus,woolgrass
SCGL3,Sclerocactus glaucus,Colorado hookless cactus
SCWR,Sclerocactus wrightiae,Wright's fishhook cactus
SCBR2,Scleropogon brevifolius,burrograss
SECE,Secale cereale,cereal rye
SEVA4,Securigera varia,crownvetch
COVA2,Coronilla varia,
SEAT,Senecio atratus,tall blacktip ragwort
SEIN2,Senecio integerrimus,lambstongue ragwort
SEJA,Senecio jacobaea,stinking willie
SEHE3,Senna hebecarpa,American senna
SERE2,Serenoa repens,saw palmetto
SEOR4,Sesamum orientale,sesame
SEHE8,Sesbania herbacea,bigpod sesbania
SEIT,Setaria italica,foxtail millet
SELE6,Setaria leucopila,streambed bristlegrass
SEPA10,Setaria parviflora,marsh bristlegrass
SEVU2,Setaria vulpiseta,plains bristlegrass
SHAR,Shepherdia argentea,silver buffaloberry
SHCA,Shepherdia canadensis,russet buffaloberry
SICA2,Sidalcea campestris,meadow checkerbloom
SIMAV,Sidalcea malviflora,dwarf checkerbloom
SIVI3,Sidalcea virgata,
SISP2,Silene spaldingii,Spalding's silene
SILA3,Silphium laciniatum,compassplant
SIPE2,Silphium perfoliatum,cup plant
SIPEC2,Silphium perfoliatum,cup plant
SIPEP,Silphium perfoliatum,cup plant
SICA7,Simsia calva,awnless bushsunflower
SIID,Sisyrinchium idahoense,Idaho blue-eyed grass
SOEL,Solanum elaeagnifolium,silverleaf nightshade
SOME,Solanum melongena,eggplant
SOCA6,Solidago canadensis,Canada goldenrod
SOMI2,Solidago missouriensis,Missouri goldenrod
SONE,Solidago nemoralis,gray goldenrod
SOSE,Solidago sempervirens,seaside goldenrod
SONU2,Sorghastrum nutans,Indiangrass
SOSE5,Sorghastrum secundum,lopsided Indiangrass
SOBI2,Sorghum bicolor,sorghum
SPAM,Sparganium americanum,American bur-reed
SPAN,Sparganium androcladum,branched bur-reed
SPAN2,Sparganium angustifolium,narrowleaf bur-reed
SPER,Sparganium erectum,simplestem bur-reed
SPERS2,Sparganium erectum,simplestem bur-reed
SPEU,Sparganium eurycarpum,broadfruit bur-reed
SPFL,Sparganium fluctuans,floating bur-reed
SPGL,Sparganium glomeratum,clustered bur-reed
SPHY,Sparganium hyperboreum,northern bur-reed
SPNA,Sparganium natans,small bur-reed
SPAL,Spartina alterniflora,smooth cordgrass
SPBA,Spartina bakeri,sand cordgrass
SPCY,Spartina cynosuroides,big cordgrass
SPPA,Spartina patens,saltmeadow cordgrass
SPPE,Spartina pectinata,prairie cordgrass
SPSP,Spartina spartinae,gulf cordgrass
SPAM2,Sphaeralcea ambigua,desert globemallow
SPCO,Sphaeralcea coccinea,scarlet globemallow
SPGI2,Sphaeralcea gierischii,Gierisch's globemallow
SPGR2,Sphaeralcea grossulariifolia,gooseberryleaf globemallow
SPMU2,Sphaeralcea munroana,Munro's globemallow
SPDO,Spiraea douglasii,rose spirea
SPDI6,Spiranthes diluvialis,Ute lady's tresses
SPAI,Sporobolus airoides,alkali sacaton
SPCOC2,Sporobolus compositus,composite dropseed
SPCO4,Sporobolus contractus,spike dropseed
SPCR,Sporobolus cryptandrus,sand dropseed
SPCU,Sporobolus curtissii,Curtis' dropseed
SPFL3,Sporobolus floridanus,Florida dropseed
SPJU,Sporobolus junceus,pineywoods dropseed
SPTE5,Sporobolus texanus,Texas dropseed
SPVI3,Sporobolus virginicus,seashore dropseed
SPWR2,Sporobolus wrightii,big sacaton
STHE9,Strophostyles helvola,amberique-bean
STHE4,Strophostyles helvula,
STPE15,Stuckenia pectinata,sago pondweed
SYAL,Symphoricarpos albus,common snowberry
SYAS3,Symphyotrichum ascendens,western aster
SYCH4,Symphyotrichum chilense,Pacific aster
SYERE,Symphyotrichum ericoides,white heath aster
SYLAL3,Symphyotrichum laeve,smooth blue aster
SYLAL4,Symphyotrichum lanceolatum,white panicle aster
SYNO2,Symphyotrichum novae-angliae,New England aster
SYNON,Symphyotrichum novi-belgii,New York aster
SYOB,Symphyotrichum oblongifolium,aromatic aster
SYPR6,Symphyotrichum prenanthoides,crookedstem aster
SYVI3,Syringa villosa,villous lilac
SYVU,Syringa vulgaris,common lilac
TACA8,Taeniatherum caput-medusae,medusahead
TADI2,Taxodium distichum,bald cypress
TECA2,Tetradymia canescens,spineless horsebrush
TESP2,Tetradymia spinosa,shortspine horsebrush
THDE,Thalia dealbata,powdery alligator-flag
THMOM3,Thermopsis montana,mountain goldenbanner
THIN6,Thinopyrum intermedium,intermediate wheatgrass
THPO7,Thinopyrum ponticum,tall wheatgrass
THOC2,Thuja occidentalis,arborvitae
THPL,Thuja plicata,western redcedar
TIAM,Tilia americana,American basswood
TIAMA,Tilia americana,American basswood
TIAMC,Tilia americana,Carolina basswood
TIAMH,Tilia americana,American basswood
TIUS,Tillandsia usneoides,Spanish moss
TOPAP3,Torreyochloa pallida,pale false mannagrass
TOAP,Townsendia aprica,Last Chance Townsend daisy
TRVI,Tradescantia virginiana,Virginia spiderwort
TRSE6,Triadica sebifera,Chinese tallow
TRCR9,Trichloris crinita,false Rhodes grass
CHCR,Chloris crinita,
TRPL3,Trichloris pluriflora,multiflower false Rhodes grass
CHPL2,Chloris pluriflora,
TRLA4,Trichostema lanceolatum,vinegarweed
TRAL2,Tridens albescens,white tridens
TRFL2,Tridens flavus,purpletop tridens
TRMU,Tridens muticus,slim tridens
TRST2,Tridens strictus,longspike tridens
TRFR2,Trifolium fragiferum,strawberry clover
TRFR4,Trifolium friscanum,Frisco clover
TRHI4,Trifolium hirtum,rose clover
TRHY,Trifolium hybridum,alsike clover
TRIN3,Trifolium incarnatum,crimson clover
TRPR2,Trifolium pratense,red clover
TRRE3,Trifolium repens,white clover
TRVE,Trifolium vesiculosum,arrowleaf clover
TRWO,Trifolium wormskioldii,cows clover
TRDA3,Tripsacum dactyloides,eastern gamagrass
TRHY3,Triteleia hyacinthina,white brodiaea
TRIX,Triteleia ixioides,prettyface
TRLA16,Triteleia laxa,Ithuriel's spear
TSCA,Tsuga canadensis,eastern hemlock
TSHE,Tsuga heterophylla,western hemlock
TYAN,Typha angustifolia,narrowleaf cattail
TYDO,Typha domingensis,southern cattail
TYLA,Typha latifolia,broadleaf cattail
ULPA,Ulmus parvifolia,Chinese elm
ULPU,Ulmus pumila,Siberian elm
ULRU,Ulmus rubra,slippery elm
UMCA,Umbellularia californica,California laurel
UNPA,Uniola paniculata,seaoats
URRA,Urochloa ramosa,browntop millet
VACO,Vaccinium corymbosum,highbush blueberry
VADE,Vaccinium deliciosum,Cascade bilberry
VAME,Vaccinium membranaceum,thinleaf huckleberry
VAOV2,Vaccinium ovatum,California huckleberry
VAOX,Vaccinium oxycoccos,small cranberry
VAPA,Vaccinium parvifolium,red huckleberry
VASC,Vaccinium scoparium,grouse whortleberry
VEDU,Ventenata dubia,North Africa grass
VEHA2,Verbena hastata,swamp verbena
VEVI4,Veronicastrum virginicum,Culver's root
VEZI80,Vetiveria zizanioides,vetivergrass
CHZI,Chrysopogon zizanioides,
VIAC,Viburnum acerifolium,mapleleaf viburnum
VIDE,Viburnum dentatum,southern arrowwood
VIDED4,Viburnum dentatum,southern arrowwood
VIDEV,Viburnum dentatum,southern arrowwood
VILE,Viburnum lentago,nannyberry
VIOPA2,Viburnum opulus,American cranberrybush
VIAM,Vicia americana,American vetch
VILU,Vicia ludoviciana,Louisiana vetch
VIVI,Vicia villosa,winter vetch
VIVIV8,Vicia villosa,winter vetch
VILU3,Vigna luteola,hairypod cowpea
VIUN,Vigna unguiculata,cowpea
VIUNS2,Vigna unguiculata,yardlong bean
VIMI2,Vinca minor,common periwinkle
VIAD,Viola adunca,hookedspur violet
VUMY,Vulpia myuros,annual fescue
WAFI,Washingtonia filifera,California fan palm
WEACH,Wedelia acapulcensis,hairy wedelia
WETE,Wedelia texana,
XETE,Xerophyllum tenax,common beargrass
YUFI,Yucca filamentosa,Adam's needle
ZAPU,Zamia pumila,coontie
ZAAM,Zanthoxylum americanum,common pricklyash
ZEME,Zea mexicana,Mexican teosinte
ZIVE,Zigadenus venenosus,meadow deathcamas
ZIAC,Zinnia acerosa,desert zinnia
ZIMI,Zizaniopsis miliacea,giant cutgrass
ZIAU,Zizia aurea,golden zizia
ZOMA,Zostera marina,seawrack
